0.296757233738  724.85010289	0.00161656317937  2.59799912599
0.385921739011  21.6273367224	0.0021022802563  0.0775164433006
0.393930688857  30.0798772809	0.00214590842086  0.107811938736
0.420273237666  34.3508264096	0.00228940751579  0.123119823855
0.429280155862  39.7822446439	0.00233847203944  0.142587048553
0.448091485004  46.7668809823	0.00244094536979  0.167621299125
0.483202653819  55.8151678794	0.00263221087654  0.200052061508
0.483241174751  54.6021475784	0.00263242071648  0.195704368558
0.504779134796  52.6715682338	0.0027497471679  0.188784809011
0.521785517411  45.5158378963	0.00284238818495  0.163137325361
0.55117296488  40.2185770067	0.00300247414112  0.144150945823
0.557106988824  42.0319365369	0.00303479929961  0.150650367505
0.588718381676  33.2759914298	0.0032070000345  0.119267413092
0.642485461174  29.4169873977	0.00349989224098  0.105436016693
0.693639302374  25.436373701	0.00377854902425  0.0911687483797
0.740672873843  22.8112301709	0.00403476094156  0.0817597401315
0.76560634692  19.8571006213	0.00417058420019  0.0711715841015
0.789992480901  28.0296842777	0.00430342586941  0.100463661334
0.843649134337  24.4111572277	0.00459571653804  0.087494179678
0.971339546753  26.9041362956	0.00529130065733  0.0964294856309
1.03667960306  27.7299104181	0.00564723580284  0.0993892154288
1.10570957901  34.0735956914	0.00602327151387  0.122126176809
1.15542057855  29.6655751716	0.00629406852342  0.106327002039
1.20627619606  33.1311138653	0.0065711007551  0.118748144646
1.27316560697  36.7372075184	0.0069354758957  0.13167306267
1.2868385345  38.6758331161	0.00700995816162  0.138621461502
1.34354988889  42.565845825	0.00731888908878  0.152563998831
1.40328247025  42.2815734143	0.00764427792741  0.151545113035
1.44951976159  44.5266509515	0.00789615216731  0.159591893267
1.56388935653  46.2378846946	0.00851917211428  0.165725276916
1.5981269843  47.2798209599	0.00870567907052  0.169459772498
1.59838179994  45.2471054266	0.00870706715993  0.162174137636
1.72472599933  45.29648928	0.00939531788288  0.162351138657
1.74380433028  43.6745094528	0.00949924568593  0.156537657833
1.84123403895  43.3895939264	0.0100299868498  0.155516466988
2.00923198405  39.209859603	0.0109451432854  0.140535512891
2.07560039164  40.3944470215	0.0113066802987  0.14478129704
2.24055924121  36.2312113529	0.0122052814852  0.129859477226
2.44356353023  38.465463436	0.0133111324016  0.137867456994
2.63608468112  41.1312817689	0.014359877195  0.147422251387
2.87576572304  40.2875772949	0.0156655220222  0.144398255836
2.97052042879  42.4267771285	0.0161816913045  0.152065550462
3.06937581156  40.9203076287	0.0167201987231  0.146666080381
3.17143671032  39.7574548356	0.0172761679539  0.142498197217
3.27628180729  40.6596950705	0.0178473038995  0.145731995946
3.45960976429  39.5165622789	0.0188459694461  0.141634792977
3.81561265747  38.1490799092	0.0207852689928  0.136733478917
4.02890534607  37.6236374639	0.0219471652083  0.134850194348
4.49204575835  36.3273208713	0.0244700885013  0.130203951819
4.74340312626  35.3059912316	0.0258393392546  0.12654331426
4.8471198245  36.3669694426	0.0264043283312  0.130346059758
4.95428901559  35.0702031474	0.0269881246084  0.125698205411
5.52380635595  33.861864738	0.0300905283841  0.121367293242
5.58372171433  34.619521337	0.0304169128871  0.124082877021
6.02716904556  31.5096747274	0.0328325595712  0.112936601754
7.49311171388  28.7373413787	0.0408181743136  0.103000037507
7.74226781693  27.9206980144	0.0421754338386  0.100073034065
7.74350229386  26.7202950645	0.0421821585608  0.0957705640749
9.0174935694  25.6273506471	0.0491221322252  0.0918532456806
10.3886824491  23.8657533274	0.0565915826816  0.0855393494991
10.5035985123  23.0111667784	0.057217579474  0.0824763505445
10.6192213689  22.514577759	0.0578474264712  0.0806964820816
12.5044584143  20.2193138165	0.0681171164586  0.0724698243316
15.2139884277  17.6420359775	0.0828770816933  0.0632323757249
15.5470624208  18.0395861077	0.0846914777451  0.0646572701776
18.9163820791  15.625287705	0.103045598487  0.0560039705298
21.0959480091  14.1244998706	0.114918623401  0.0506248646064
24.0397892249  13.3456125378	0.130954981657  0.0478331858832
